Event date,Event,Ticket ID,Payment date,Ticket price buyer,Original ticket price,Ticket listing price,Revenue,Event ID,Seller user ID,Buyer user ID,Listing created Date,Meets ticket Fairshare conditions? (Yes / No),Refund created Date,Kickback,Fairshare
2024-05-24,Hungry Hedgehog,25548630,2024-05-24,€174.42,€134.40,€161.28,€13.32,a9f8217c-e4ac-45de-a588-36521e661c14,12542919,5879559,2024-05-24,Yes,,€1.33,€9.41
2024-05-31,Daring Dragon,21831182,2023-09-23,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,138613,9552191,2023-09-23,Yes,,€0.72,€5.10
2024-05-08,Fancy Flamingo,25145288,2024-05-07,€69.22,€115.00,€64.00,€5.29,6914373f-7098-4132-a8de-5af04c8204b7,2950483,1237318,2024-05-04,No,,€0.53,€0.53
2024-05-05,Golden Giraffe,25158448,2024-05-05,€48.67,€61.60,€45.00,€3.72,e0d78d5c-7086-4d89-87ef-b1388f842f2c,3100391,13116354,2024-05-05,No,,€0.37,€0.37
2024-05-26,Lucky Llama,25517701,2024-05-23,€70.30,€95.30,€65.00,€5.37,dcd3cee8-dbe6-48fa-a229-f544c6857872,244176,2046822,2024-05-22,No,,€0.54,€0.54
2024-05-26,Lucky Llama,25076322,2024-05-15,€86.52,€95.30,€80.00,€6.61,dcd3cee8-dbe6-48fa-a229-f544c6857872,941758,6422182,2024-04-30,No,,€0.66,€0.66
2024-05-31,Daring Dragon,24596477,2024-04-03,€79.95,€61.60,€73.92,€6.12,5e160574-2903-43c6-bf2b-9091ba693c26,13377852,2734741,2024-04-01,Yes,,€0.61,€4.31
2024-05-23,Electric Emu,25532599,2024-05-23,€34.61,€95.20,€32.00,€2.64,62df8913-4e36-4cb0-a971-44b8ccff3d7b,10009679,2137008,2024-05-23,No,,€0.26,€0.26
2024-05-29,Curious Cactus,25029838,2024-04-30,€94.48,€87.36,€87.36,€7.22,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,483622,640389,2024-04-27,No,,€0.72,€0.72
2024-05-05,Golden Giraffe,24715555,2024-04-10,€89.23,€72.80,€82.50,€6.83,e0d78d5c-7086-4d89-87ef-b1388f842f2c,507231,5681999,2024-04-10,Yes,,€0.68,€2.79
2024-05-23,Electric Emu,25533930,2024-05-23,€42.18,€95.00,€39.00,€3.22,62df8913-4e36-4cb0-a971-44b8ccff3d7b,9773790,4798915,2024-05-23,No,,€0.32,€0.32
2024-05-25,Jubilant Jellybean,25601816,2024-05-25,€75.71,€92.00,€70.00,€5.78,2772b208-9bd2-4817-a281-af19555e0ec5,9836831,5636539,2024-05-25,No,,€0.58,€0.58
2024-05-08,Fancy Flamingo,25212258,2024-05-08,€99.99,€95.20,€92.46,€7.64,6914373f-7098-4132-a8de-5af04c8204b7,1912739,3837047,2024-05-08,No,,€0.76,€0.76
2024-05-25,Jubilant Jellybean,25327210,2024-05-14,€105.80,€81.53,€97.83,€8.08,2772b208-9bd2-4817-a281-af19555e0ec5,17160,4447877,2024-05-14,Yes,,€0.81,€5.70
2024-05-31,Daring Dragon,25526988,2024-05-28,€32.45,€72.80,€30.00,€2.48,5e160574-2903-43c6-bf2b-9091ba693c26,1164487,7330914,2024-05-23,No,,€0.25,€0.25
2024-05-29,Curious Cactus,21758571,2023-09-17,€112.48,€98.56,€104.00,€8.59,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,2124842,6184979,2023-09-17,Yes,,€0.86,€0.12
2024-05-25,Jubilant Jellybean,25549277,2024-05-24,€116.29,€116.00,€107.52,€8.90,2772b208-9bd2-4817-a281-af19555e0ec5,3492029,5863780,2024-05-24,No,,€0.89,€0.89
2024-05-26,Lucky Llama,25583706,2024-05-25,€81.11,€95.30,€75.00,€6.20,dcd3cee8-dbe6-48fa-a229-f544c6857872,13839484,8698692,2024-05-25,No,,€0.62,€0.62
2024-05-29,Curious Cactus,25200807,2024-05-08,€113.37,€87.36,€104.83,€8.66,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,4201691,7073945,2024-05-08,Yes,,€0.87,€6.11
2024-05-27,Brilliant Banjo,25587108,2024-05-27,€103.99,€180.00,€96.15,€7.96,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,5741596,4349194,2024-05-25,No,,€0.80,€0.80
2024-05-25,Jubilant Jellybean,25551285,2024-05-24,€99.98,€89.60,€92.45,€7.64,2772b208-9bd2-4817-a281-af19555e0ec5,498724,13829820,2024-05-24,No,,€0.76,€0.76
2024-05-25,Jubilant Jellybean,25542580,2024-05-23,€116.29,€89.60,€107.52,€8.89,2772b208-9bd2-4817-a281-af19555e0ec5,340190,6962204,2024-05-23,Yes,,€0.89,€6.27
2024-05-24,Hungry Hedgehog,25506195,2024-05-22,€109.02,€84.00,€100.80,€8.33,a9f8217c-e4ac-45de-a588-36521e661c14,12213494,11004962,2024-05-22,Yes,,€0.83,€5.88
2024-05-29,Curious Cactus,25681438,2024-05-29,€21.63,€33.00,€20.00,€1.66,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,13875403,1230078,2024-05-29,No,,€0.17,€0.17
2024-05-25,Jubilant Jellybean,25570756,2024-05-24,€116.29,€89.60,€107.52,€8.89,2772b208-9bd2-4817-a281-af19555e0ec5,3284810,11664217,2024-05-24,Yes,,€0.89,€6.27
2024-05-31,Daring Dragon,24536720,2024-04-02,€75.71,€72.80,€70.00,€5.79,5e160574-2903-43c6-bf2b-9091ba693c26,12558743,12533598,2024-03-29,No,2024-06-28,€0.58,€0.58
2024-05-08,Fancy Flamingo,25184950,2024-05-08,€64.89,€95.20,€60.00,€4.96,6914373f-7098-4132-a8de-5af04c8204b7,7309050,155162,2024-05-07,No,2024-05-30,€0.50,€0.50
2024-05-24,Hungry Hedgehog,25340097,2024-05-15,€140.60,€200.00,€130.00,€10.75,a9f8217c-e4ac-45de-a588-36521e661c14,11441648,13732904,2024-05-15,No,2024-05-21,€1.07,€1.07
2024-05-25,Jubilant Jellybean,25505950,2024-05-22,€116.27,€89.60,€107.50,€8.90,2772b208-9bd2-4817-a281-af19555e0ec5,13605300,7245165,2024-05-22,Yes,2024-05-24,€0.89,€6.26
2024-05-29,Curious Cactus,24597616,2024-04-01,€94.48,€87.36,€87.36,€7.22,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,13378671,13014472,2024-04-01,No,,€0.72,€0.72
2024-05-26,Lucky Llama,25482519,2024-05-25,€70.30,€110.00,€65.00,€5.37,dcd3cee8-dbe6-48fa-a229-f544c6857872,9454175,3013145,2024-05-21,No,,€0.54,€0.54
2024-05-08,Fancy Flamingo,25191118,2024-05-08,€59.48,€80.00,€55.00,€4.54,6914373f-7098-4132-a8de-5af04c8204b7,13546984,3100564,2024-05-07,No,,€0.45,€0.45
2024-05-05,Golden Giraffe,24888060,2024-04-27,€58.48,€49.28,€54.08,€4.46,e0d78d5c-7086-4d89-87ef-b1388f842f2c,13330560,65830,2024-04-20,Yes,,€0.45,€1.05
2024-05-05,Golden Giraffe,24847754,2024-04-18,€70.30,€61.60,€65.00,€5.38,e0d78d5c-7086-4d89-87ef-b1388f842f2c,3842424,6516959,2024-04-18,Yes,,€0.54,€0.08
2024-05-08,Fancy Flamingo,25206597,2024-05-08,€53.99,€72.80,€49.92,€4.13,6914373f-7098-4132-a8de-5af04c8204b7,1912739,6154942,2024-05-08,No,,€0.41,€0.41
2024-05-29,Curious Cactus,23129016,2023-12-10,€97.33,€90.00,€90.00,€8.21,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,12661990,2393419,2023-12-10,No,2023-12-11,€0.82,€0.82
2024-05-31,Daring Dragon,23467972,2024-01-06,€78.73,€72.80,€72.80,€6.02,5e160574-2903-43c6-bf2b-9091ba693c26,5174799,9688747,2024-01-06,No,2024-05-02,€0.60,€0.60
2024-05-31,Daring Dragon,24385549,2024-04-28,€37.58,€72.80,€34.75,€2.85,5e160574-2903-43c6-bf2b-9091ba693c26,13283547,3453355,2024-03-19,No,,€0.29,€0.29
2024-05-08,Fancy Flamingo,25209795,2024-05-08,€52.99,€72.80,€49.00,€4.05,6914373f-7098-4132-a8de-5af04c8204b7,106401,7500181,2024-05-08,No,,€0.41,€0.41
2024-05-29,Curious Cactus,24870080,2024-04-20,€102.74,€87.36,€95.00,€7.85,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,13509913,3876288,2024-04-20,Yes,,€0.79,€1.45
2024-05-05,Golden Giraffe,25159642,2024-05-05,€48.67,€61.60,€45.00,€3.72,e0d78d5c-7086-4d89-87ef-b1388f842f2c,8692504,347068,2024-05-05,No,,€0.37,€0.37
2024-05-27,Brilliant Banjo,25464966,2024-05-20,€162.23,€139.44,€150.00,€12.40,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,5888951,8487067,2024-05-20,Yes,,€1.24,€1.53
2024-05-05,Golden Giraffe,24997895,2024-04-26,€79.95,€61.60,€73.92,€6.12,e0d78d5c-7086-4d89-87ef-b1388f842f2c,262398,5005662,2024-04-26,Yes,,€0.61,€4.31
2024-05-31,Daring Dragon,23868303,2024-02-12,€79.95,€61.60,€73.92,€6.12,5e160574-2903-43c6-bf2b-9091ba693c26,11092641,11552590,2024-02-12,Yes,,€0.61,€4.31
2024-05-05,Golden Giraffe,24976214,2024-04-27,€82.19,€72.80,€76.00,€6.28,e0d78d5c-7086-4d89-87ef-b1388f842f2c,609532,6748677,2024-04-26,No,,€0.63,€0.63
2024-05-05,Golden Giraffe,25046301,2024-04-28,€79.95,€61.60,€73.92,€6.12,e0d78d5c-7086-4d89-87ef-b1388f842f2c,13356474,11747386,2024-04-28,Yes,,€0.61,€4.31
2024-05-24,Hungry Hedgehog,25456983,2024-05-19,€116.29,€90.00,€107.52,€8.89,a9f8217c-e4ac-45de-a588-36521e661c14,4366167,13468644,2024-05-19,Yes,,€0.89,€6.07
2024-05-23,Electric Emu,25540954,2024-05-23,€43.26,€95.20,€40.00,€3.31,62df8913-4e36-4cb0-a971-44b8ccff3d7b,13821023,17573,2024-05-23,No,,€0.33,€0.33
2024-05-23,Electric Emu,25493866,2024-05-23,€96.25,€123.20,€89.00,€7.33,62df8913-4e36-4cb0-a971-44b8ccff3d7b,642376,13814224,2024-05-21,No,,€0.73,€0.73
2024-05-29,Curious Cactus,25315168,2024-05-14,€29.57,€53.76,€27.34,€2.26,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,13719096,742926,2024-05-13,No,2024-05-21,€0.23,€0.23
2024-05-26,Lucky Llama,25552143,2024-05-26,€81.11,€106.50,€75.00,€6.31,dcd3cee8-dbe6-48fa-a229-f544c6857872,10178901,9124165,2024-05-24,No,2024-05-28,€0.63,€0.63
2024-05-08,Fancy Flamingo,25205982,2024-05-08,€79.99,€95.00,€73.96,€6.12,6914373f-7098-4132-a8de-5af04c8204b7,9495877,10809490,2024-05-08,No,2024-05-08,€0.61,€0.61
2024-05-31,Daring Dragon,25401588,2024-05-17,€55.16,€61.60,€51.00,€4.21,5e160574-2903-43c6-bf2b-9091ba693c26,8856750,7768980,2024-05-17,No,2024-06-04,€0.42,€0.42
2024-05-05,Golden Giraffe,25040268,2024-04-28,€63.75,€61.60,€58.94,€4.88,e0d78d5c-7086-4d89-87ef-b1388f842f2c,12513720,1818793,2024-04-28,No,2024-05-08,€0.49,€0.49
2024-05-25,Jubilant Jellybean,25576034,2024-05-24,€152.63,€128.50,€141.12,€11.62,2772b208-9bd2-4817-a281-af19555e0ec5,13833773,32037,2024-05-24,Yes,2024-05-29,€1.16,€2.78
2024-05-23,Electric Emu,25488022,2024-05-23,€34.61,€80.00,€32.00,€2.64,62df8913-4e36-4cb0-a971-44b8ccff3d7b,11410331,13634273,2024-05-21,No,2024-05-23,€0.26,€0.26
2024-05-24,Hungry Hedgehog,25550457,2024-05-24,€152.63,€170.00,€141.12,€11.67,a9f8217c-e4ac-45de-a588-36521e661c14,9109462,13809574,2024-05-24,No,2024-05-24,€1.17,€1.17
2024-05-08,Fancy Flamingo,25208935,2024-05-08,€51.91,€72.80,€48.00,€3.96,6914373f-7098-4132-a8de-5af04c8204b7,7845,1254834,2024-05-08,No,2024-05-08,€0.40,€0.40
2024-05-31,Daring Dragon,23770822,2024-02-10,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12979685,13023130,2024-02-05,Yes,2024-03-26,€0.72,€5.10
2024-05-25,Jubilant Jellybean,25601098,2024-05-25,€108.15,€150.00,€100.00,€8.26,2772b208-9bd2-4817-a281-af19555e0ec5,12318405,13672077,2024-05-25,No,2024-05-28,€0.83,€0.83
2024-05-23,Electric Emu,25510971,2024-05-23,€43.26,€72.80,€40.00,€3.31,62df8913-4e36-4cb0-a971-44b8ccff3d7b,5080448,10176892,2024-05-22,No,2024-05-28,€0.33,€0.33
2024-05-26,Lucky Llama,25622191,2024-05-26,€84.36,€90.00,€78.00,€6.45,dcd3cee8-dbe6-48fa-a229-f544c6857872,266990,12507712,2024-05-26,No,2024-07-25,€0.65,€0.65
2024-05-24,Hungry Hedgehog,25528962,2024-05-23,€152.63,€160.00,€141.12,€11.67,a9f8217c-e4ac-45de-a588-36521e661c14,1656037,10333541,2024-05-23,No,2024-05-27,€1.17,€1.17
2024-05-31,Daring Dragon,23676031,2024-01-28,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12931039,12049081,2024-01-28,Yes,2024-03-26,€0.72,€5.10
2024-05-29,Curious Cactus,25675274,2024-05-29,€10.82,€53.76,€10.00,€0.83,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,1161351,4877150,2024-05-29,No,2024-06-06,€0.08,€0.08
2024-05-24,Hungry Hedgehog,25372174,2024-05-16,€105.80,€81.53,€97.83,€8.08,a9f8217c-e4ac-45de-a588-36521e661c14,5282487,13746623,2024-05-16,Yes,2024-05-17,€0.81,€5.70
2024-05-24,Hungry Hedgehog,25372175,2024-05-16,€105.80,€81.53,€97.83,€8.08,a9f8217c-e4ac-45de-a588-36521e661c14,5282487,13746623,2024-05-16,Yes,2024-05-17,€0.81,€5.70
2024-05-05,Golden Giraffe,25040059,2024-04-28,€45.42,€61.60,€42.00,€3.47,e0d78d5c-7086-4d89-87ef-b1388f842f2c,7776555,12513720,2024-04-28,No,2024-05-08,€0.35,€0.35
2024-05-08,Fancy Flamingo,25205985,2024-05-08,€56.24,€72.80,€52.00,€4.30,6914373f-7098-4132-a8de-5af04c8204b7,13675580,1301193,2024-05-08,No,2024-05-13,€0.43,€0.43
2024-05-31,Daring Dragon,23404803,2023-12-31,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12785697,5258121,2023-12-31,Yes,2024-03-26,€0.72,€5.10
2024-05-27,Brilliant Banjo,25491442,2024-05-27,€378.53,€409.50,€350.00,€31.96,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,13797855,12542919,2024-05-21,No,2024-05-28,€3.20,€3.20
2024-05-29,Curious Cactus,25671457,2024-05-29,€34.61,€87.36,€32.00,€2.64,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,5781472,4877150,2024-05-29,No,2024-06-04,€0.26,€0.26
2024-05-05,Golden Giraffe,24968837,2024-04-25,€70.30,€61.60,€65.00,€5.38,e0d78d5c-7086-4d89-87ef-b1388f842f2c,10304915,11455840,2024-04-25,Yes,2024-05-06,€0.54,€0.08
2024-05-27,Brilliant Banjo,25640013,2024-05-27,€108.15,€178.00,€100.00,€8.26,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,185970,3853433,2024-05-27,No,2024-05-30,€0.83,€0.83
2024-05-24,Hungry Hedgehog,25341073,2024-05-15,€167.63,€155.00,€155.00,€12.81,a9f8217c-e4ac-45de-a588-36521e661c14,13732904,367492,2024-05-15,No,2024-05-21,€1.28,€1.28
2024-05-24,Hungry Hedgehog,25560286,2024-05-24,€116.29,€89.60,€107.52,€8.89,a9f8217c-e4ac-45de-a588-36521e661c14,12213494,11978356,2024-05-24,Yes,2024-05-30,€0.89,€6.27
2024-05-26,Lucky Llama,25466106,2024-05-20,€70.30,€95.30,€65.00,€5.37,dcd3cee8-dbe6-48fa-a229-f544c6857872,244176,244777,2024-05-20,No,2024-05-20,€0.54,€0.54
